sections: {'OS': 1, '0x0a01': 43, 'REGS': 9, 'INDEXED_REGS': 4, '0x0901': 2, '0x1201': 135, 'GMU_MEM': 38, 'MEMLIST_V2': 11, 'RB_V2': 2, 'MVC_V2': 2, 'IB_V2': 2, 'SIDEBAND2': 1}
total regs: 1625
  0x00443 = 0x00000000  
  0x00444 = 0x7d3d8776  
  0x00445 = 0x00000000  
  0x00446 = 0x7d3d877c  
  0x00447 = 0x00000000  
  0x00448 = 0x7d3d8782  
  0x00449 = 0x00000000  
  0x0044a = 0x7d3d8788  
  0x0044b = 0x00000000  
  0x0044c = 0x7d3d878e  
  0x0044d = 0x00000000  
  0x0044e = 0x7d3d8794  
  0x0044f = 0x00000000  
  0x00450 = 0x00000358  
  0x00451 = 0x00000000  
  0x00452 = 0x00000358  
  0x00453 = 0x00000000  
  0x00454 = 0x00000358  
  0x00455 = 0x00000000  
  0x00456 = 0x00000358  
  0x00457 = 0x00000000  
  0x00458 = 0x00000358  
  0x00459 = 0x00000000  
  0x0045a = 0x00000358  
  0x0045b = 0x00000000  
  0x0045c = 0x000000af  
  0x0045d = 0x00000000  
  0x0045e = 0x000000af  
  0x0045f = 0x00000000  
  0x00460 = 0x000000af  
  0x00461 = 0x00000000  
  0x00462 = 0x000000af  
  0x00463 = 0x00000000  
  0x00464 = 0x000000af  
  0x00465 = 0x00000000  
  0x00466 = 0x0000010a  
  0x00467 = 0x00000000  
  0x00468 = 0x0000010a  
  0x00469 = 0x00000000  
  0x0046a = 0x0000010a  
  0x0046b = 0x00000000  
  0x0046c = 0x0000010a  
  0x0046d = 0x00000000  
  0x0046e = 0x00000098  
  0x0046f = 0x00000000  
  0x00470 = 0x00000098  
  0x00471 = 0x00000000  
  0x00472 = 0x00000098  
  0x00473 = 0x00000000  
  0x00474 = 0x00000098  
  0x00475 = 0x00000000  
  0x00476 = 0x01301601  
  0x00477 = 0x00000000  
  0x00478 = 0x01301601  
  0x00479 = 0x00000000  
  0x0047a = 0x01301601  
  0x0047b = 0x00000000  
  0x0047c = 0x01301601  
  0x0047d = 0x00000000  
  0x0047e = 0x01301601  
  0x0047f = 0x00000000  
  0x00480 = 0x01301601  
  0x00481 = 0x00000000  
  0x00482 = 0x01301601  
  0x00483 = 0x00000000  
  0x00484 = 0x01301601  
  0x00485 = 0x00000000  
  0x00486 = 0x01301601  
  0x00487 = 0x00000000  
  0x00488 = 0x01301601  
  0x00489 = 0x00000000  
  0x0048a = 0x01301601  
  0x0048b = 0x00000000  
  0x0048c = 0x01301601  
  0x0048d = 0x00000000  
  0x0048e = 0x000000ab  
  0x0048f = 0x00000000  
  0x00490 = 0x000000ab  
  0x00491 = 0x00000000  
  0x00492 = 0x000000ab  
  0x00493 = 0x00000000  
  0x00494 = 0x000000ab  
  0x00495 = 0x00000000  
  0x00496 = 0x000000ab  
  0x00497 = 0x00000000  
  0x00498 = 0x000000ab  
  0x00499 = 0x00000000  
  0x0049a = 0x000000ab  
  0x0049b = 0x00000000  
  0x0049c = 0x000000ab  
  0x0049d = 0x00000000  
  0x0049e = 0x000000ab  
  0x0049f = 0x00000000  
  0x004a0 = 0x000000ab  
  0x004a1 = 0x00000000  
  0x004a2 = 0x000000ab  
  0x004a3 = 0x00000000  
  0x004a4 = 0x000000ab  
  0x004a5 = 0x00000000  
  0x004a6 = 0x7d3d82c1  
  0x004a7 = 0x00000000  
  0x004a8 = 0x7d3d82c9  
  0x004a9 = 0x00000000  
  0x004aa = 0x7d3d82d1  
  0x004ab = 0x00000000  
  0x004ac = 0x7d3d82d8  
  0x004ad = 0x00000000  
  0x004ae = 0x7d3d82de  
  0x004af = 0x00000000  
  0x004b0 = 0x7d3d82e4  
  0x004b1 = 0x00000000  
  0x004b2 = 0x7d3d82ea  
  0x004b3 = 0x00000000  
  0x004b4 = 0x7d3d82f0  
  0x004b5 = 0x00000000  
  0x004b6 = 0x7d3d82f6  
  0x004b7 = 0x00000000  
  0x004b8 = 0x7d3d82fc  
  0x004b9 = 0x00000000  
  0x004ba = 0x7d3d8302  
  0x004bb = 0x00000000  
  0x004bc = 0x7d3d8308  
  0x004bd = 0x00000000  
  0x004be = 0x7d3d830e  
  0x004bf = 0x00000000  
  0x004c0 = 0x7d3d8314  
  0x004c1 = 0x00000000  
  0x004c2 = 0x7d3d831a  
  0x004c3 = 0x00000000  
  0x004c4 = 0x7d3d8320  
  0x004c5 = 0x00000000  
  0x004c6 = 0x7d3d8326  
  0x004c7 = 0x00000000  
  0x004c8 = 0x7d3d832c  
  0x004c9 = 0x00000000  
  0x004ca = 0x7d3d8333  
  0x004cb = 0x00000000  
  0x004cc = 0x7d3d833b  
  0x004cd = 0x00000000  
  0x004ce = 0x7d3d8342  
  0x004cf = 0x00000000  
  0x004d0 = 0x7d3d8348  
  0x004d1 = 0x00000000  
  0x004d2 = 0x7d3d834e  
  0x004d3 = 0x00000000  
  0x004d4 = 0x7d3d8354  
  0x004d5 = 0x00000000  
  0x004d6 = 0x000001a7  
  0x004d7 = 0x00000000  
  0x004d8 = 0x000001a7  
  0x004d9 = 0x00000000  
  0x004da = 0x000001a7  
  0x004db = 0x00000000  
  0x004dc = 0x000001a7  
  0x004dd = 0x00000000  
  0x004de = 0x000001a7  
  0x004df = 0x00000000  
  0x004e0 = 0x000001a7  
  0x004e1 = 0x00000000  
  0x004e2 = 0x000001a7  
  0x004e3 = 0x00000000  
  0x004e4 = 0x000001a7  
  0x004e5 = 0x00000000  
  0x004e6 = 0x00000168  
  0x004e7 = 0x00000000  
  0x004e8 = 0x00000168  
  0x004e9 = 0x00000000  
  0x004ea = 0x00000252  
  0x004eb = 0x00000000  
  0x004ec = 0x00000252  
  0x004ed = 0x00000000  
  0x004ee = 0x00000252  
  0x004ef = 0x00000000  
  0x004f0 = 0x00000252  
  0x004f1 = 0x00000000  
  0x004f2 = 0x00000000  
  0x004f3 = 0x00000000  
  0x004f4 = 0x00000000  
  0x004f5 = 0x00000000  
  0x004f6 = 0x00000000  
  0x004f7 = 0x00000000  
  0x004f8 = 0x00000000  
  0x004f9 = 0x00000000  
  0x00500 = 0x00000001  
  0x00505 = 0x00000000  
  0x00506 = 0x00000000  
  0x00507 = 0x00000000  
  0x00508 = 0x00000000  
  0x00509 = 0x00000000  
  0x0050a = 0x00000000  
  0x0050b = 0x002f7fff  
  0x0050e = 0xdeafbead  
  0x0050f = 0x00000001  
  0x00510 = 0xdeafbead  
  0x00511 = 0x00000000  
  0x00533 = 0x00000000  
  0x00540 = 0x00000000  
  0x00541 = 0x00000000  
  0x00542 = 0x00000000  
  0x00543 = 0x00000000  
  0x00544 = 0x00000000  
  0x00545 = 0x00000000  
  0x00546 = 0x00000000  
  0x00547 = 0x00000000  
  0x00548 = 0x00000000  
  0x00549 = 0x00000000  
  0x0054a = 0x00000000  
  0x0054b = 0x00000000  
  0x0054c = 0x00000000  
  0x0054d = 0x00000000  
  0x0054e = 0x00000000  
  0x0054f = 0x00000000  
  0x00550 = 0x00000000  
  0x00551 = 0x00000000  
  0x00552 = 0x00000000  
  0x00553 = 0x00000000  
  0x00554 = 0x00000000  
  0x00555 = 0x00000000  
  0x00800 = 0x0004d000  
  0x00801 = 0x0001ff80  
  0x00802 = 0x0800020c  
  0x00803 = 0x00000000  
  0x00806 = 0x000000ab  
  0x00807 = 0x000000cf  
  0x00808 = 0x00000003  
  0x00810 = 0x00000000  
  0x00811 = 0x00000000  
  0x00812 = 0x00000005  
  0x00813 = 0x00000000  
  0x00820 = 0x00000000  
  0x00821 = 0x00000000  
  0x00823 = 0x00000000  
  0x00824 = 0x00000000  
  0x00825 = 0x81434106  
  0x00826 = 0x00000a08  
  0x00827 = 0x00000001  
  0x00830 = 0x0048e000  
  0x00831 = 0x0001ff80  
  0x00832 = 0x00000000  
  0x00833 = 0x00000000  
  0x00840 = 0x00000001  
  0x00841 = 0x00000000  
  0x00842 = 0x00000001  
  0x00843 = 0x00000000  
  0x00844 = 0xffffffff  
  0x00845 = 0xffffffff  
  0x0084f = 0x0000000b  
  0x00850 = 0x13fc0000  
  0x00851 = 0x00140501  
  0x00852 = 0x0bd0050b  
  0x00853 = 0x8000050e  
  0x00854 = 0x80000510  
  0x00855 = 0x80000534  
  0x00856 = 0x82080800  
  0x00857 = 0x802008a0  
  0x00858 = 0x809008ab  
  0x00859 = 0x02f008d0  
  0x0085a = 0x81340900  
  0x0085b = 0x89c8098d  
  0x0085c = 0x80040e00  
  0x0085d = 0x80300e03  
  0x0085e = 0x830c3c00  
  0x0085f = 0x7ffc3cc4  
  0x00860 = 0x873c8630  
  0x00861 = 0x80008e00  
  0x00862 = 0x80008e08  
  0x00863 = 0x807c8e50  
  0x00864 = 0x876c9624  
  0x00865 = 0x80049e70  
  0x00866 = 0x861c9e78  
  0x00867 = 0x873ca630  
  0x00868 = 0x8000ae02  
